timestamp,lap time,stroke count,stroke type,data source
2026-05-07T09:41:53Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T09:42:30Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T10:29:11Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T10:53:32Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T14:31:47Z,00:00:24.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T14:32:27Z,00:00:21.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T14:32:53Z,00:00:19.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T14:40:08Z,00:00:22.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T14:47:35Z,00:00:20.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T14:54:32Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T14:55:12Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T15:07:31Z,00:00:30.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T15:14:42Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T15:31:31Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T15:47:48Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T15:56:23Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T15:57:04Z,00:00:32.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:17:02Z,00:00:37.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:17:46Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:23:49Z,00:00:23.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:33:25Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:42:13Z,00:00:22.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:42:48Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:45:23Z,00:00:35.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:47:30Z,00:00:33.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:48:51Z,00:00:48.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:51:04Z,00:00:53.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:54:58Z,00:01:03.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T16:56:04Z,00:01:03.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:07:45Z,00:00:53.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:08:41Z,00:00:53.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:10:48Z,00:00:48.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:14:49Z,00:00:27.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:17:40Z,00:00:37.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:18:38Z,00:00:47.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:19:41Z,00:00:46.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:20:52Z,00:00:47.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:22:06Z,00:00:30.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:30:20Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:37:17Z,00:00:28.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:42:33Z,00:00:25.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:45:27Z,00:00:45.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T17:48:13Z,00:00:36.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T18:11:42Z,00:00:36.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T18:14:10Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T19:13:54Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T19:23:40Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T19:25:31Z,00:00:21.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T20:44:48Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-07T20:57:23Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T05:42:27Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T05:42:40Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T05:43:14Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T05:49:08Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T05:58:35Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T06:21:37Z,00:00:30.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T06:22:22Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T08:09:05Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T12:03:36Z,00:00:07.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T12:28:36Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T13:16:16Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T13:22:45Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T13:52:50Z,00:00:30.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T13:59:13Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T14:02:21Z,00:00:22.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T14:03:50Z,00:00:22.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T14:04:53Z,00:00:42.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T14:05:45Z,00:00:35.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T14:06:37Z,00:00:32.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T14:07:11Z,00:00:32.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T14:08:03Z,00:00:36.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
2026-05-08T14:09:19Z,00:00:24.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Versa 4
