timestamp,steps,distance millimeters,altitude gain millimeters,data source
2026-05-13T10:24:10Z,1,1620,0,Versa 4
2026-05-13T10:24:11Z,1,1630,-304,Versa 4
2026-05-13T10:24:12Z,0,1620,0,Versa 4
2026-05-13T10:24:13Z,0,1630,-609,Versa 4
2026-05-13T10:24:14Z,0,1620,304,Versa 4
2026-05-13T10:24:15Z,0,1630,304,Versa 4
2026-05-13T10:24:16Z,0,1620,0,Versa 4
2026-05-13T10:24:17Z,0,1630,-609,Versa 4
2026-05-13T10:24:18Z,0,1620,0,Versa 4
2026-05-13T10:24:19Z,0,0,914,Versa 4
2026-05-13T10:24:20Z,0,0,-304,Versa 4
2026-05-13T10:24:21Z,0,0,304,Versa 4
2026-05-13T10:24:22Z,0,0,0,Versa 4
2026-05-13T10:24:23Z,0,0,-609,Versa 4
2026-05-13T10:24:24Z,0,0,0,Versa 4
2026-05-13T10:24:25Z,0,0,0,Versa 4
2026-05-13T10:24:26Z,0,0,0,Versa 4
2026-05-13T10:24:27Z,0,0,-304,Versa 4
2026-05-13T10:24:28Z,0,0,0,Versa 4
2026-05-13T10:24:29Z,0,0,304,Versa 4
2026-05-13T10:24:30Z,0,0,304,Versa 4
2026-05-13T10:24:31Z,4,0,-304,Versa 4
2026-05-13T10:24:32Z,1,0,0,Versa 4
2026-05-13T10:24:33Z,0,0,-914,Versa 4
2026-05-13T10:24:34Z,0,0,304,Versa 4
2026-05-13T10:24:35Z,0,0,0,Versa 4
2026-05-13T10:24:36Z,0,0,609,Versa 4
2026-05-13T10:24:37Z,0,0,0,Versa 4
2026-05-13T10:24:38Z,0,0,304,Versa 4
2026-05-13T10:24:39Z,4,0,609,Versa 4
2026-05-13T10:24:40Z,4,0,609,Versa 4
2026-05-13T10:24:41Z,2,0,0,Versa 4
2026-05-13T10:24:42Z,1,0,0,Versa 4
2026-05-13T10:24:43Z,1,0,609,Versa 4
2026-05-13T10:24:44Z,2,0,-914,Versa 4
2026-05-13T10:24:45Z,1,0,304,Versa 4
2026-05-13T10:24:46Z,2,0,609,Versa 4
2026-05-13T10:24:47Z,3,0,-304,Versa 4
2026-05-13T10:24:48Z,1,0,304,Versa 4
2026-05-13T10:24:49Z,2,0,-609,Versa 4
2026-05-13T10:24:50Z,1,0,-304,Versa 4
2026-05-13T10:24:51Z,1,0,-609,Versa 4
2026-05-13T10:24:52Z,2,0,-609,Versa 4
2026-05-13T10:24:53Z,0,0,0,Versa 4
2026-05-13T10:24:54Z,0,0,304,Versa 4
2026-05-13T10:24:55Z,0,0,304,Versa 4
2026-05-13T10:24:56Z,0,0,-304,Versa 4
2026-05-13T10:24:57Z,0,0,0,Versa 4
2026-05-13T10:24:58Z,0,0,609,Versa 4
2026-05-13T10:24:59Z,0,0,-304,Versa 4
2026-05-13T10:25:00Z,0,0,304,Versa 4
2026-05-13T10:25:01Z,0,0,-304,Versa 4
2026-05-13T10:25:02Z,0,0,-609,Versa 4
2026-05-13T10:25:03Z,0,1630,609,Versa 4
2026-05-13T10:38:11Z,0,0,0,Versa 4
2026-05-13T10:38:12Z,2,0,0,Versa 4
2026-05-13T10:38:13Z,1,170,-304,Versa 4
2026-05-13T10:38:14Z,2,270,0,Versa 4
2026-05-13T10:38:15Z,2,420,0,Versa 4
2026-05-13T10:38:16Z,1,560,0,Versa 4
2026-05-13T10:38:17Z,2,670,304,Versa 4
2026-05-13T10:38:18Z,2,790,-304,Versa 4
2026-05-13T10:38:19Z,1,850,304,Versa 4
2026-05-13T10:38:20Z,2,900,-914,Versa 4
2026-05-13T10:38:21Z,2,970,0,Versa 4
2026-05-13T10:38:22Z,1,990,0,Versa 4
2026-05-13T10:38:23Z,2,1230,609,Versa 4
2026-05-13T10:38:24Z,2,1290,0,Versa 4
2026-05-13T10:38:25Z,2,1330,0,Versa 4
2026-05-13T10:38:26Z,1,1310,0,Versa 4
2026-05-13T10:38:27Z,2,1350,304,Versa 4
2026-05-13T10:38:28Z,2,1370,-609,Versa 4
2026-05-13T10:38:29Z,2,1380,609,Versa 4
2026-05-13T10:38:30Z,1,1360,-304,Versa 4
2026-05-13T10:38:31Z,2,1370,-609,Versa 4
2026-05-13T10:38:32Z,1,1380,609,Versa 4
2026-05-13T10:38:33Z,2,1370,0,Versa 4
2026-05-13T10:38:34Z,2,1380,0,Versa 4
2026-05-13T10:38:35Z,1,1360,0,Versa 4
2026-05-13T10:38:36Z,2,1370,-304,Versa 4
2026-05-13T10:38:37Z,2,1380,304,Versa 4
2026-05-13T10:38:38Z,1,1390,0,Versa 4
2026-05-13T10:38:39Z,2,1380,-609,Versa 4
2026-05-13T10:38:40Z,1,1380,0,Versa 4
2026-05-13T10:38:41Z,2,1380,0,Versa 4
2026-05-13T10:38:42Z,2,1370,609,Versa 4
2026-05-13T10:38:43Z,1,1380,-609,Versa 4
2026-05-13T10:38:44Z,2,1370,609,Versa 4
2026-05-13T10:38:45Z,1,1360,0,Versa 4
2026-05-13T10:38:46Z,2,1370,0,Versa 4
2026-05-13T10:38:47Z,2,1370,-609,Versa 4
2026-05-13T10:38:48Z,1,1360,914,Versa 4
2026-05-13T10:38:49Z,0,1250,0,Versa 4
2026-05-13T10:38:50Z,1,1140,-304,Versa 4
2026-05-13T10:38:51Z,1,0,-609,Versa 4
2026-05-13T10:38:52Z,3,0,914,Versa 4
2026-05-13T10:38:53Z,1,1510,-304,Versa 4
2026-05-13T10:38:54Z,1,580,0,Versa 4
2026-05-13T10:38:55Z,1,660,0,Versa 4
2026-05-13T10:38:56Z,0,710,0,Versa 4
2026-05-13T10:38:57Z,0,750,0,Versa 4
2026-05-13T10:38:58Z,0,0,304,Versa 4
2026-05-13T10:38:59Z,0,0,0,Versa 4
2026-05-13T10:39:00Z,0,0,0,Versa 4
2026-05-13T10:39:01Z,0,0,0,Versa 4
2026-05-13T10:39:02Z,0,0,-609,Versa 4
2026-05-13T10:39:03Z,0,0,0,Versa 4
2026-05-13T10:39:04Z,0,0,0,Versa 4
2026-05-13T10:39:05Z,0,0,609,Versa 4
2026-05-13T10:39:06Z,0,0,-609,Versa 4
2026-05-13T10:39:07Z,0,0,0,Versa 4
2026-05-13T10:39:08Z,0,0,0,Versa 4
2026-05-13T10:39:09Z,0,0,0,Versa 4
2026-05-13T10:39:10Z,0,0,609,Versa 4
2026-05-13T10:39:11Z,0,0,0,Versa 4
2026-05-13T10:39:12Z,1,0,-609,Versa 4
2026-05-13T10:39:13Z,1,0,914,Versa 4
2026-05-13T10:39:14Z,1,0,0,Versa 4
2026-05-13T10:39:15Z,1,0,-914,Versa 4
2026-05-13T10:39:16Z,0,0,609,Versa 4
2026-05-13T10:39:17Z,1,0,-304,Versa 4
