type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2026-05-07T23:52:30,2026-05-08T07:40:30,463,32.29956803455724,NaN,NaN,NaN,NaN
IDT,2026-05-09T02:21:30,2026-05-09T12:12:30,584,33.94075342465754,NaN,NaN,NaN,NaN
IDT,2026-05-10T02:55:30,2026-05-10T11:17,498,33.94116465863454,0.20479452054860303,506.12620871677063,0.9476575620949129,1.0091394470229762
IDT,2026-05-12T05:12:30,2026-05-12T10:49:30,335,33.91462686567164,-4.376198630137878,128.1154958640691,0.8164011988331498,0.8730891329085569
IDT,2026-05-12T23:51:30,2026-05-13T05:22:30,330,32.974848484848486,-310.126865671642,653.4317660947563,0.7484670133529814,1.0173770033290501
IDT,2026-05-14T05:44:30,2026-05-14T12:38:30,411,34.31824817518248,160.51935033735208,187.00525993364863,0.7644486916794385,0.9632980723689649
IDT,2026-05-15T01:32:30,2026-05-15T11:09,572,34.03426573426573,53.48904109588693,315.91027538012713,0.7200424414079841,0.912462821389692
IDT,2026-05-17T05:31,2026-05-17T14:28,537,33.95698324022346,8.604994636079937,620.3342009917833,0.6764636698052244,0.947501542684347
IDT,2026-05-18T05:04,2026-05-18T11:12:30,365,32.8331506849315,-404.27499999999964,794.5049743150594,0.6918757030820124,1.012674409930133
IDT,2026-05-19T05:42,2026-05-19T12:49,426,33.80140845070423,-53.79600184011542,529.8326051970944,0.6560774754906186,1.0249216255717462
IDT,2026-05-20T03:57,2026-05-20T07:51,234,33.430769230769236,-113.2226865671646,236.4821228781948,0.6245349087602476,1.0195293528315519
