timestamp,value
2026-06-02T20:54:06Z,82.1
2026-06-02T20:55:06Z,82.2
2026-06-02T20:56:06Z,82.2
2026-06-02T20:57:06Z,82.1
2026-06-02T20:58:06Z,82.1
2026-06-02T20:59:06Z,81.9
2026-06-02T21:00:06Z,50.0
2026-06-02T21:01:06Z,79.0
2026-06-02T21:02:06Z,78.2
2026-06-02T21:15:07Z,94.9
2026-06-02T21:16:07Z,95.0
2026-06-02T21:17:07Z,95.0
2026-06-02T21:18:07Z,95.0
2026-06-02T21:19:07Z,95.0
2026-06-02T21:20:07Z,95.1
2026-06-02T21:21:07Z,95.2
2026-06-02T21:22:07Z,95.2
2026-06-02T21:23:07Z,95.1
2026-06-02T21:24:07Z,95.0
2026-06-02T21:25:07Z,95.2
2026-06-02T21:26:07Z,95.1
2026-06-02T21:27:07Z,95.3
2026-06-02T21:28:07Z,95.5
2026-06-02T21:29:07Z,95.5
2026-06-02T21:30:07Z,95.4
2026-06-02T21:31:07Z,95.2
2026-06-02T21:32:07Z,95.3
2026-06-02T21:33:07Z,95.5
2026-06-02T21:34:07Z,95.5
2026-06-02T21:35:07Z,95.5
2026-06-02T21:36:07Z,95.5
2026-06-02T21:37:07Z,95.6
2026-06-02T21:38:07Z,95.6
2026-06-02T21:39:07Z,95.6
2026-06-02T21:40:07Z,95.7
2026-06-02T21:41:07Z,50.0
2026-06-02T21:42:07Z,96.0
2026-06-02T21:43:07Z,95.9
2026-06-02T21:44:07Z,95.6
2026-06-02T21:45:07Z,95.3
2026-06-02T21:46:07Z,95.0
2026-06-02T21:47:07Z,94.9
2026-06-02T21:48:07Z,94.9
2026-06-02T21:49:07Z,94.9
2026-06-02T21:50:07Z,94.9
2026-06-02T21:51:07Z,95.0
2026-06-02T21:52:07Z,94.9
2026-06-02T21:53:07Z,94.8
2026-06-02T21:54:07Z,94.6
2026-06-02T21:55:07Z,94.6
2026-06-02T21:56:07Z,94.5
2026-06-02T21:57:07Z,94.4
2026-06-02T21:58:07Z,50.0
2026-06-02T21:59:07Z,50.0
2026-06-02T22:00:07Z,94.6
2026-06-02T22:01:07Z,95.2
2026-06-02T22:02:07Z,95.9
2026-06-02T22:03:07Z,96.0
2026-06-02T22:04:07Z,96.5
2026-06-02T22:05:07Z,97.3
2026-06-02T22:06:07Z,98.3
2026-06-02T22:07:07Z,98.8
2026-06-02T22:08:07Z,99.0
2026-06-02T22:09:07Z,99.2
2026-06-02T22:10:07Z,99.2
2026-06-02T22:11:07Z,99.4
2026-06-02T22:12:07Z,99.5
2026-06-02T22:13:07Z,99.6
2026-06-02T22:14:07Z,99.3
2026-06-02T22:15:07Z,99.2
2026-06-02T22:16:07Z,99.3
2026-06-02T22:17:07Z,99.5
2026-06-02T22:18:07Z,99.4
2026-06-02T22:19:07Z,99.4
2026-06-02T22:20:07Z,99.4
2026-06-02T22:21:07Z,99.2
2026-06-02T22:22:07Z,99.2
2026-06-02T22:23:07Z,99.2
2026-06-02T22:24:07Z,99.1
2026-06-02T22:25:07Z,99.0
2026-06-02T22:26:07Z,98.6
2026-06-02T22:27:07Z,98.3
2026-06-02T22:28:07Z,98.0
2026-06-02T22:29:07Z,97.7
2026-06-02T22:30:07Z,50.0
2026-06-02T22:31:07Z,95.1
2026-06-02T22:32:07Z,94.1
2026-06-02T22:33:07Z,95.6
2026-06-02T22:34:07Z,96.8
2026-06-02T22:35:07Z,96.3
2026-06-02T22:36:07Z,96.8
2026-06-02T22:37:07Z,86.5
2026-06-02T22:38:07Z,81.4
2026-06-02T22:39:07Z,79.2
2026-06-02T22:40:07Z,79.1
2026-06-02T22:41:07Z,79.1
2026-06-02T22:42:07Z,78.6
2026-06-02T22:43:07Z,82.4
2026-06-02T22:44:07Z,81.7
2026-06-02T22:45:07Z,82.4
2026-06-02T22:46:07Z,79.4
2026-06-02T22:47:07Z,79.7
2026-06-02T22:48:07Z,80.8
2026-06-02T22:49:07Z,79.8
2026-06-02T22:50:07Z,79.5
2026-06-02T22:51:07Z,82.5
2026-06-02T22:52:07Z,82.2
2026-06-02T22:53:07Z,82.3
2026-06-02T22:54:07Z,83.6
2026-06-02T22:55:07Z,83.3
2026-06-02T22:56:07Z,83.1
2026-06-02T22:57:07Z,82.6
2026-06-02T22:58:07Z,78.2
2026-06-02T22:59:07Z,80.1
2026-06-02T23:00:07Z,81.5
2026-06-02T23:01:07Z,81.5
2026-06-02T23:02:07Z,80.2
2026-06-02T23:03:07Z,82.7
2026-06-02T23:04:07Z,84.2
2026-06-02T23:05:07Z,86.6
2026-06-02T23:06:07Z,90.0
2026-06-02T23:07:07Z,86.2
2026-06-02T23:08:07Z,87.3
2026-06-02T23:09:07Z,87.6
2026-06-02T23:10:07Z,88.9
2026-06-02T23:11:07Z,86.4
2026-06-02T23:12:07Z,87.2
2026-06-02T23:13:07Z,50.0
2026-06-02T23:14:07Z,86.9
2026-06-02T23:15:07Z,88.5
2026-06-02T23:16:07Z,88.1
2026-06-02T23:17:07Z,88.8
2026-06-02T23:18:07Z,90.8
2026-06-02T23:19:07Z,91.9
2026-06-02T23:20:07Z,92.9
2026-06-02T23:21:07Z,92.4
2026-06-02T23:22:07Z,93.5
2026-06-02T23:23:07Z,93.8
2026-06-02T23:24:07Z,94.8
2026-06-02T23:25:07Z,94.1
2026-06-02T23:26:07Z,95.7
2026-06-02T23:27:07Z,95.7
2026-06-02T23:28:07Z,95.4
2026-06-02T23:29:07Z,95.5
2026-06-02T23:30:07Z,96.1
2026-06-02T23:31:07Z,50.0
2026-06-02T23:32:07Z,94.8
2026-06-02T23:33:07Z,93.7
2026-06-02T23:34:07Z,92.6
2026-06-02T23:35:07Z,92.5
2026-06-02T23:36:07Z,92.2
2026-06-02T23:37:07Z,92.0
2026-06-02T23:38:07Z,92.4
2026-06-02T23:39:07Z,92.2
2026-06-02T23:40:07Z,92.1
2026-06-02T23:41:07Z,92.1
2026-06-02T23:42:07Z,92.5
2026-06-02T23:43:07Z,50.0
2026-06-02T23:44:07Z,93.3
2026-06-02T23:45:07Z,50.0
2026-06-02T23:46:07Z,50.0
2026-06-02T23:47:07Z,92.1
2026-06-02T23:48:07Z,91.4
2026-06-02T23:49:07Z,91.7
2026-06-02T23:50:07Z,92.4
2026-06-02T23:51:07Z,93.2
2026-06-02T23:52:07Z,94.0
2026-06-02T23:53:07Z,94.7
2026-06-02T23:54:07Z,95.0
2026-06-02T23:55:07Z,95.5
2026-06-02T23:56:07Z,95.8
2026-06-02T23:57:07Z,96.0
2026-06-02T23:58:07Z,96.4
2026-06-02T23:59:07Z,50.0
2026-06-03T00:00:07Z,95.6
